,Feature Name,Coefficient Value
0,2010's Song,0.208955274930977
1,Energy,0.2790576627655489
2,Liveness,0.31957541588067373
3,Debut in August,0.4118074251332931
4,Instrumentalness,0.4164856708791174
5,Debut in December,0.4234846432743212
6,Debut in October,0.45653880055958085
7,Key of Bb,0.4611488314851162
8,Debut in March,0.47002481634265697
9,Debut in July,0.4712632828218087
10,Debut in May,0.4789027505747618
11,Debut in February,0.4864729215213917
12,Debut Position,0.4886907148367348
13,Debut in September,0.49433648048045975
14,1990's Song,0.4967365517681502
15,Artist Frequency,0.4990449226035594
16,Tempo,0.5003395557384142
17,Acousticness,0.5014200671997888
18,Song Name Frequency,0.5022652876432183
19,Key of D,0.5049059950196156
20,Key of C,0.5053245274999555
21,5/4 Time Signature,0.5056871876943713
22,Loudness,0.5110268302721606
23,Duration (minutes),0.513275026817433
24,Song in Minor,0.5195606881225189
25,Debut in November,0.5197556900375492
26,Valence,0.5230447745449767
27,Debut in January,0.5233461246192811
28,Debut in June,0.5255087895542766
29,Key of G#,0.528531949733289
30,Key of D#,0.5368802727970251
31,Key of F,0.5441233181440472
32,Key of G,0.5459874894874673
33,Key of B,0.5467753218076361
34,Key of E,0.5476261758835407
35,Key of F#,0.5500113506398069
36,4/4 Time Signature,0.5549288927976573
37,Key of C#,0.593189343518101
38,1980's Song,0.6508004658136755
39,1950's Song,0.6509854400230778
40,1960's Song,0.6762310879695952
41,1970's Song,0.694320551738963
42,Danceability,0.822325160572396
